accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_from,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
28:37.3,3765,TCP  ,78.111.187.81,3185,IOS App,,Female,RU,Premium,Russian,0,No,0,Cash
31:42.1,3093,TCP  ,78.111.190.671,2362,Chrome,,Female,US,Premium,Russian,0,No,0,Cash
31:19.6,4295,TCP  ,78.149.129.8,4513,Mozilla Firefox,,Female,CO,Premium,English,0,No,0,Debit Card
32:46.0,3715,TCP  ,78.157.84.30,180,Android App,,Female,CN,Premium,Russian,0,No,0,Others
30:14.5,2679,TCP  ,78.163.63.125,4333,Android App,,Female,JP,Premium,Spanish,0,No,0,Credit Card
30:14.5,2636,TCP  ,78.165.199.112,2275,Android App,,Male,CN,Premium,Spanish,0,No,0,Credit Card
30:26.7,1535,TCP  ,78.168.15.210,2283,Android App,,Male,CN,Premium,Spanish,0,No,0,Cash
30:47.4,2746,TCP  ,78.173.202.97,2267,Android App,,Male,IT,Premium,English,0,No,0,Cash
29:47.7,3834,TCP  ,78.18.212.200,456,Mozilla Firefox,,Female,AT,Premium,English,0,No,0,Credit Card
31:09.7,4564,TCP  ,78.183.197.52,2111,Mozilla Firefox,,Female,US,Premium,Spanish,0,No,0,Cash
31:13.0,3447,TCP  ,78.184.147.65,2179,Mozilla Firefox,,Female,IT,Premium,Spanish,0,No,0,Credit Card
32:37.9,2826,UDP  ,78.222.230.250,129,Others,,Male,US,Premium,English,0,No,0,Credit Card
32:37.9,4739,TCP  ,78.228.98.40,5403,Others,,Female,CN,Premium,French,0,No,0,Credit Card
36:55.6,3286,TCP  ,78.237.112.223,46,Safari,,Female,US,Premium,English,0,No,0,Debit Card
37:22.2,2184,TCP  ,78.42.44.21,467,Mozilla Firefox,,Female,RU,Premium,English,0,No,0,Cash
40:57.5,2172,TCP  ,78.56.85.232,4549,Mozilla Firefox,,Female,IT,Premium,German,0,No,0,Cash
42:17.2,4973,TCP  ,78.61.159.29,3261,IOS App,,Male,US,Premium,German,0,No,0,Cash
40:08.7,1951,TCP  ,78.62.72.149,4213,IOS App,,Female,IT,Premium,Russian,0,No,0,Credit Card
44:39.7,2104,TCP  ,78.95.36.207,44,Others,,Male,IT,Premium,English,0,No,0,Credit Card
44:45.7,1510,TCP  ,79.100.206.93,46,Safari,,Female,US,Premium,Spanish,0,No,0,Cash
44:54.2,2197,TCP  ,79.103.82.151,46,Safari,,Female,US,Premium,English,0,No,0,Cash
44:54.2,2061,TCP  ,79.106.109.196,40,Safari,,Male,CH,Premium,English,0,No,0,Cash
45:24.6,4348,TCP  ,79.107.143.194,240,Microsoft Edge,,Female,JP,Premium,English,0,No,0,Cash
46:17.2,3746,TCP  ,79.119.244.212,375,IOS App,,Female,RU,Premium,italian,0,No,0,Credit Card
43:23.7,1932,TCP  ,79.121.200.183,4213,Chrome,,Male,US,Premium,English,0,No,0,Cash
41:51.0,2759,TCP  ,79.137.150.196,461,Mozilla Firefox,,Female,SE,Premium,Russian,0,No,0,Credit Card
46:56.4,3628,TCP  ,79.137.150.203,46,Mozilla Firefox,,Female,RU,Premium,Spanish,0,No,0,Credit Card
45:28.6,4281,TCP  ,79.137.150.237,8617,Mozilla Firefox,,Male,IN,Premium,Russian,0,No,0,Cash
44:28.5,4855,ICMP ,79.137.150.245,420,Android App,,Female,IT,Premium,Russian,0,No,0,Cash
44:30.8,1821,TCP  ,79.137.150.81,2215,Android App,,Female,CH,Premium,Russian,0,No,0,Credit Card
44:30.8,4741,TCP  ,79.137.181.113,3145,Android App,,Female,US,Premium,Russian,0,No,0,Cash
48:11.2,4198,TCP  ,79.137.181.17,225,Android App,,Female,IN,Premium,Russian,0,No,0,Cash
48:30.3,4670,TCP  ,79.137.181.1,40,Android App,,Male,CA,Premium,Russian,0,No,0,Credit Card
45:35.1,1593,TCP  ,79.137.181.211,1586,Android App,,Female,IT,Premium,Russian,0,No,0,Debit Card
49:03.5,1661,TCP  ,79.137.181.55,4393,Android App,,Male,IT,Premium,Spanish,0,No,0,Cash
49:28.2,4889,TCP  ,79.137.181.99,46,Mozilla Firefox,,Female,IT,Premium,Russian,0,No,0,Cash
48:17.8,4113,UDP  ,79.185.221.205,439,Microsoft Edge,,Female,IN,Premium,polish,0,No,0,Credit Card
51:21.6,2104,TCP  ,79.194.91.251,46,Safari,,Female,PL,Premium,English,0,No,0,Cash
51:22.4,3671,TCP  ,79.210.145.104,40,Safari,,Female,SE,Premium,English,0,No,0,Cash
51:53.2,2064,TCP  ,79.228.208.17,144,Others,,Female,CA,Premium,English,0,No,0,Cash
49:10.8,1870,UDP  ,79.241.47.222,46,IOS App,,Female,RU,Premium,German,0,No,0,Cash
49:10.8,3507,ICMP ,79.242.17.13,65,Microsoft Edge,,Male,JP,Premium,English,0,No,0,Others
49:51.1,1771,TCP  ,79.71.226.192,2359,Android App,,Male,JP,Premium,English,0,No,0,Cash
52:58.9,2435,TCP  ,79.76.83.177,2157,Android App,,Female,CA,Premium,English,0,No,0,Debit Card
53:10.6,3718,TCP  ,79.77.62.243,40,Android App,,Female,CA,Premium,English,0,No,0,Cash
50:03.7,3822,TCP  ,79.79.234.49,2267,Android App,,Female,IT,Premium,English,0,No,0,Credit Card
50:05.7,4684,TCP  ,79.80.70.37,3185,Android App,,Male,US,Premium,English,0,No,0,Credit Card
50:14.4,3982,TCP  ,79.83.156.156,2267,Android App,,Female,IT,Premium,English,0,No,0,Cash
53:14.9,3643,TCP  ,80.106.105.9,4322,Android App,,Female,CA,Premium,English,0,No,0,Debit Card
50:51.0,3484,TCP  ,80.113.37.53,763,Mozilla Firefox,,Male,CA,Premium,English,0,No,0,Debit Card
50:32.5,2374,TCP  ,80.114.231.67,2267,Mozilla Firefox,,Female,CN,Premium,Dutch,0,No,0,Others
50:32.5,3561,TCP  ,80.119.109.69,3185,Mozilla Firefox,,Female,CN,Premium,French,0,No,0,Credit Card
50:41.3,4826,TCP  ,80.12.38.912,3185,Chrome,,Female,CA,Premium,English,0,No,0,Debit Card
50:43.8,1609,TCP  ,80.12.38.964,3185,Chrome,,Female,AR,Premium,French,0,No,0,Debit Card
53:58.5,4209,TCP  ,80.12.43.184,46,Chrome,,Female,DE,Premium,French,0,No,0,Debit Card
50:58.8,1664,TCP  ,80.12.63.775,2163,IOS App,,Female,CA,Premium,Spanish,0,No,0,Cash
51:25.5,3159,TCP  ,80.154.98.138,2163,Safari,,Female,IN,Premium,English,0,No,0,Cash
51:42.2,1976,TCP  ,80.192.248.134,2423,Safari,,Female,MX,Premium,English,0,No,0,Cash
55:04.6,4971,TCP  ,80.215.72.40,5809,Mozilla Firefox,,Male,DE,Premium,Russian,0,No,0,Cash
52:30.2,3510,TCP  ,80.218.90.106,3185,Mozilla Firefox,,Male,IT,Premium,Spanish,0,No,0,Credit Card
52:31.6,4237,TCP  ,80.229.168.14,3185,Android App,,Male,AR,Premium,English,0,No,0,Credit Card
53:56.5,2250,ICMP ,80.60.40.199,466,Chrome,,Female,AU,Premium,English,0,No,0,Credit Card
40:02.4,1756,TCP  ,2.103.28.38,3185,Android App,,Female,IT,Premium,English,0,No,0,Credit Card
43:40.3,2475,TCP  ,2.122.105.61,92,Mozilla Firefox,,Male,CA,Premium,English,0,No,0,Credit Card
43:40.3,3247,TCP  ,2.122.192.118,44,Mozilla Firefox,,Female,JP,Premium,English,0,No,0,Debit Card
44:17.1,2765,TCP  ,2.126.142.55,46,Android App,,Female,US,Premium,English,0,No,0,Others
44:17.1,2151,TCP  ,2.127.227.24,40,Chrome,,Female,IT,Premium,English,0,No,0,Credit Card
43:57.7,4379,TCP  ,2.132.103.224,3003,Chrome,,Female,CN,Premium,Russian,0,No,0,Credit Card
41:58.2,3032,TCP  ,2.176.188.182,3305,Microsoft Edge,,Female,IN,Premium,English,0,No,0,Credit Card
45:52.8,2161,TCP  ,2.179.64.226,3019,Others,,Male,AU,Premium,English,0,No,0,Cash
44:02.7,3551,TCP  ,2.218.232.232,3369,IOS App,,Male,JP,Premium,English,0,No,0,Cash
47:29.9,4883,TCP  ,2.219.51.10,46,Chrome,,Male,NO,Premium,English,0,No,0,Cash
47:35.2,4170,TCP  ,2.238.22.158,3687,Chrome,,Female,DE,Premium,italian,0,No,0,Others
45:18.6,1862,TCP  ,2.244.71.66,1586,Others,,Male,JP,Premium,Spanish,0,No,0,Cash
49:04.7,1781,TCP  ,2.31.202.83,3027,Android App,,Female,RU,Premium,English,0,No,0,Debit Card
50:38.2,3898,TCP  ,2.55.190.72,40,Mozilla Firefox,,Female,CO,Premium,Russian,0,No,0,Credit Card
50:38.8,2230,TCP  ,2.76.35.205,3809,Mozilla Firefox,,Female,DE,Premium,Russian,0,No,0,Cash
51:07.0,1681,TCP  ,2.78.255.104,46,Chrome,,Male,CA,Premium,Russian,0,No,0,Debit Card
48:11.8,3131,TCP  ,2.91.123.42,3313,IOS App,,Female,IT,Premium,English,0,No,0,Cash
51:51.3,2113,TCP  ,2.96.78.249,46,IOS App,,Male,CH,Premium,English,0,No,0,Others
52:10.6,2525,TCP  ,5.100.119.164,3745,Safari,,Male,IT,Premium,Russian,0,No,0,Cash
52:51.2,3476,TCP  ,5.115.231.1296,4949,Microsoft Edge,,Male,JP,Premium,persian,0,No,0,Cash
50:07.7,3897,TCP  ,5.116.247.165,2539,Microsoft Edge,,Male,PE,Premium,English,0,No,0,Cash
51:08.7,3588,TCP  ,5.124.84.26,2387,Chrome,,Female,IT,Premium,English,0,No,0,Cash
55:00.5,3526,TCP  ,5.148.22.66,3865,Mozilla Firefox,,Male,PE,Premium,English,0,No,0,Debit Card
55:00.5,2805,TCP  ,5.148.245.124,2995,Mozilla Firefox,,Female,KR,Premium,English,0,No,0,Credit Card
55:21.5,4373,TCP  ,5.156.248.119,3809,Android App,,Female,CA,Premium,English,0,No,0,Credit Card
56:04.6,3102,TCP  ,5.157.15.1586,2987,Android App,,Male,CA,Premium,English,0,No,0,Credit Card
57:56.9,1817,TCP  ,5.175.111.62,3035,Android App,,Female,CA,Premium,Russian,0,No,0,Others
59:01.9,1693,TCP  ,5.199.212.181,3745,Safari,,Female,DE,Premium,Russian,0,No,0,Cash
59:19.7,4015,TCP  ,5.2.64.131,104,Others,,Female,IT,Premium,English,0,No,0,Cash
59:23.2,2384,TCP  ,5.222.130.261,4709,Others,,Female,AR,Premium,persian,0,No,0,Cash
57:10.4,2790,TCP  ,5.226.175.206,2163,Microsoft Edge,,Female,KR,Premium,English,0,No,0,Others
00:06.9,3017,TCP  ,5.226.175.219,3287,IOS App,,Male,JP,Premium,English,0,No,0,Debit Card
00:56.1,3420,TCP  ,5.228.99.1968,46,Chrome,,Female,RU,Premium,English,0,No,0,Credit Card
01:41.5,2053,TCP  ,5.255.75.84,40,Android App,,Male,US,Premium,English,0,No,0,Debit Card
01:32.2,2137,TCP  ,5.255.77.53,3745,Android App,,Female,IT,Premium,English,0,No,0,Others
59:19.3,4547,TCP  ,5.3.201.116,2267,Android App,,Female,IT,Premium,English,0,No,0,Others
04:52.6,3706,TCP  ,5.58.10.210,40,Others,,Female,CA,Premium,Spanish,0,No,0,Cash
04:41.2,2976,TCP  ,5.62.1.29,3865,Others,,Female,GB,Premium,English,0,No,0,Others
05:02.3,4586,TCP  ,5.67.221.24,2883,Safari,,Female,IT,Premium,English,0,No,0,Credit Card
03:26.0,2005,TCP  ,5.78.152.41,2163,IOS App,,Male,IT,Premium,English,0,No,0,Credit Card
03:26.0,4094,TCP  ,5.78.220.138,3305,IOS App,,Male,PL,Premium,persian,0,No,0,Cash
03:38.3,1716,ICMP ,5.80.206.188,88,Chrome,,Female,CH,Premium,English,0,No,0,Credit Card
06:23.2,2600,TCP  ,5.80.233.228,3745,Chrome,,Male,US,Premium,English,0,No,0,Others
05:00.4,3855,UDP  ,5.9.112.6,76,Android App,,Female,US,Premium,German,0,No,0,Others
07:40.2,4621,TCP  ,5.9.112.6,3897,Android App,,Female,US,Premium,German,0,No,0,Credit Card
08:29.4,4985,TCP  ,5.9.145.132,2831,Android App,,Female,PL,Premium,English,0,No,0,Credit Card
07:20.7,3080,TCP  ,5.9.17.118,4213,Android App,,Female,IT,Premium,Spanish,0,No,0,Credit Card
10:39.5,3362,TCP  ,5.9.17.118,46,Chrome,,Male,CN,Premium,English,0,No,0,Cash
10:36.2,4900,TCP  ,5.9.94.207,2987,Microsoft Edge,,Female,NO,Premium,swedish,0,No,0,Debit Card
11:39.0,4293,TCP  ,8.25.28.24,2935,Others,,Male,CA,Premium,English,0,No,0,Debit Card
11:35.8,3720,TCP  ,8.37.225.66,2227,Mozilla Firefox,,Male,IT,Premium,English,0,No,0,Cash
12:36.7,4365,TCP  ,8.37.231.119,3249,Android App,,Female,JP,Premium,English,0,No,0,Cash
16:59.5,4946,TCP  ,8.37.237.143,2883,Mozilla Firefox,,Female,CA,Premium,English,0,No,0,Cash
18:04.0,3503,TCP  ,8.40.58.235,92,IOS App,,Female,CH,Premium,English,0,No,0,Credit Card
18:48.5,2924,TCP  ,12.131.115.89,1807,Microsoft Edge,,Female,IN,Premium,English,0,No,0,Credit Card
15:55.8,4878,TCP  ,12.156.96.98,3609,Safari,,Male,IT,Premium,English,0,No,0,Credit Card
20:28.0,2337,TCP  ,12.31.244.14,40,Microsoft Edge,,Male,CA,Premium,English,0,No,0,Credit Card
20:40.7,4939,TCP  ,12.34.246.81,46,Microsoft Edge,,Male,CN,Premium,English,0,No,0,Cash
21:08.1,4943,TCP  ,13.21.125.17,3745,Chrome,,Male,US,Premium,French,0,No,0,Others
21:50.9,4686,TCP  ,14.0.159.174,3745,Chrome,,Female,US,Premium,English,0,No,0,Debit Card
22:12.6,3674,TCP  ,14.0.225.237,3833,Others,,Male,AR,Premium,English,0,No,0,Cash
19:51.5,2585,TCP  ,14.139.207.138,2227,Android App,,Male,US,Premium,English,0,No,0,Cash
22:57.1,3832,TCP  ,14.139.236.234,3036,Android App,,Female,RU,Premium,English,0,No,0,Debit Card
22:52.9,1892,TCP  ,14.139.60.817,2015,Android App,,Male,IN,Premium,English,0,No,0,Others
23:19.4,4964,TCP  ,14.140.162.186,3745,Android App,,Female,IT,Premium,English,0,No,0,Debit Card
24:00.9,3839,TCP  ,14.141.67.98,4218,Android App,,Female,US,Premium,English,0,No,0,Credit Card
24:00.9,3182,TCP  ,14.141.89.18,3332,Android App,,Female,IN,Premium,English,0,No,0,Debit Card
24:45.9,4398,TCP  ,14.161.45.155,2848,Android App,,Male,RU,Premium,English,0,No,0,Cash
25:30.6,1578,TCP  ,14.174.133.154,3998,Microsoft Edge,,Female,AR,Premium,English,0,No,0,Cash
26:04.0,4547,TCP  ,14.174.56.220,144,Microsoft Edge,,Female,IN,Premium,English,0,No,0,Cash
23:32.4,2991,TCP  ,14.187.158.263,3553,Others,,Male,US,Premium,English,0,No,0,Credit Card
24:36.4,3881,TCP  ,14.194.154.204,2571,Safari,,Female,CA,Premium,English,0,No,0,Credit Card
24:36.4,4969,TCP  ,14.194.215.233,3737,IOS App,,Female,AT,Premium,English,0,No,0,Cash
27:49.2,4579,TCP  ,14.195.61.245,3172,IOS App,,Male,MX,Premium,English,0,No,0,Debit Card
29:16.0,3477,TCP  ,14.96.181.22,4773,Mozilla Firefox,,Female,US,Premium,English,0,No,0,Others
29:16.0,2312,TCP  ,14.96.6.54,2900,Mozilla Firefox,,Female,CA,Premium,English,0,No,0,Credit Card
29:37.7,2709,TCP  ,14.99.143.12,3865,Android App,,Male,IN,Premium,English,0,No,0,Debit Card
27:16.2,4723,TCP  ,15.195.185.93,1586,Android App,,Female,PL,Premium,English,0,No,0,Cash
29:59.4,3267,TCP  ,23.104.161.155,2964,Android App,,Female,SE,Premium,English,0,No,0,Cash
30:22.3,1722,TCP  ,23.104.184.253,2900,Android App,,Male,NO,Premium,English,0,No,0,Cash
30:43.2,2682,TCP  ,23.104.184.62,92,Android App,,Female,CA,Premium,English,0,No,0,Credit Card
30:43.2,2736,TCP  ,23.104.184.62,44,Android App,,Male,MX,Premium,English,0,No,0,Others
31:12.3,4391,TCP  ,23.105.142.201,92,Mozilla Firefox,,Female,US,Premium,English,0,No,0,Credit Card
31:47.5,4678,TCP  ,23.106.219.224,2932,IOS App,,Male,CA,Premium,italian,0,No,0,Cash
29:03.5,1518,TCP  ,23.108.165.125,4797,Microsoft Edge,,Male,US,Premium,italian,0,No,0,Others
32:05.7,2847,TCP  ,23.108.2.147,3036,Safari,,Male,PL,Premium,English,0,No,0,Debit Card
29:27.6,4224,TCP  ,23.108.2.197,4449,Safari,,Female,KR,Premium,English,0,No,0,Cash
32:27.7,4542,TCP  ,23.108.2.197,3745,Others,,Female,CA,Premium,English,0,No,0,Debit Card
30:17.3,4197,TCP  ,23.108.86.253,2267,Safari,,Female,NO,Premium,English,0,No,0,Cash
30:17.3,2242,TCP  ,23.108.86.7,3185,Safari,,Female,IN,Premium,English,0,No,0,Cash
33:32.9,3856,TCP  ,23.113.226.218,120,Safari,,Female,JP,Premium,English,0,No,0,Credit Card
33:45.5,4776,TCP  ,23.122.154.243,40,Microsoft Edge,,Male,JP,Premium,English,0,No,0,Cash
33:46.5,2089,TCP  ,23.19.46.152,2900,IOS App,,Female,NO,Premium,English,0,No,0,Cash
31:13.3,4731,TCP  ,23.229.26.160,1988,Chrome,,Female,US,Premium,English,0,No,0,Cash
34:30.6,2566,TCP  ,23.236.223.157,2900,Android App,,Male,GB,Premium,English,0,No,0,Debit Card
34:50.5,4552,TCP  ,23.236.244.125,4049,Android App,,Female,DE,Premium,English,0,No,0,Credit Card
35:42.1,1602,TCP  ,23.241.239.13,2916,Android App,,Female,IN,Premium,English,0,No,0,Cash
32:58.1,1631,TCP  ,23.243.29.110,2975,Android App,,Female,CA,Premium,English,0,No,0,Cash
33:16.8,2101,TCP  ,23.245.152.216,2163,Mozilla Firefox,,Female,AU,Premium,English,0,No,0,Credit Card
36:04.1,1790,TCP  ,23.245.161.44,5738,Mozilla Firefox,,Female,RU,Premium,English,0,No,0,Credit Card
36:26.4,2619,TCP  ,23.247.151.145,3004,Mozilla Firefox,,Female,CA,Premium,English,0,No,0,Credit Card
37:08.0,1618,TCP  ,23.250.124.107,3745,Chrome,,Female,AT,Premium,English,0,No,0,Cash
34:19.4,2248,TCP  ,23.250.70.46,2267,Chrome,,Male,CA,Premium,English,0,No,0,Cash
38:12.6,4043,TCP  ,23.254.55.102,144,Microsoft Edge,,Male,SE,Premium,English,0,No,0,Credit Card
35:01.8,1561,TCP  ,23.27.245.129,2403,Safari,,Female,US,Premium,English,0,No,0,Credit Card
38:07.0,4455,TCP  ,23.27.250.1058,1637,Safari,,Female,DE,Premium,English,0,No,0,Cash
35:22.4,4011,TCP  ,23.80.97.25,3185,Others,,Male,IT,Premium,English,0,No,0,Credit Card
35:40.4,3539,TCP  ,23.81.240.83,2545,Others,,Male,IT,Premium,English,0,No,0,Cash
38:25.8,2227,TCP  ,23.81.243.28,2972,Others,,Female,IT,Premium,English,0,No,0,Cash
39:12.0,3687,TCP  ,23.83.247.228,3933,Safari,,Male,AU,Premium,English,0,No,0,Credit Card
39:12.0,4835,TCP  ,23.83.92.84,2912,Safari,,Female,US,Premium,English,0,No,0,Cash
40:12.7,3462,TCP  ,23.92.121.227,46,Chrome,,Female,DE,Premium,English,0,No,0,Credit Card
40:24.6,1925,TCP  ,23.92.122.193,40,Others,,Female,JP,Premium,English,0,No,0,Others
37:22.7,1865,TCP  ,23.92.122.193,2227,Others,,Female,IT,Premium,English,0,No,0,Credit Card
40:16.6,3310,TCP  ,23.92.122.196,3745,Others,,Male,DE,Premium,English,0,No,0,Debit Card
41:19.0,2362,TCP  ,23.92.124.182,2900,Android App,,Female,RU,Premium,English,0,No,0,Others
38:53.3,3718,ICMP ,23.92.27.116,46,Android App,,Female,IT,Premium,English,0,No,0,Cash
41:42.1,2250,TCP  ,23.94.103.114,3068,Mozilla Firefox,,Male,CH,Premium,English,0,No,0,Cash
39:08.6,3470,UDP  ,23.94.153.281,76,Mozilla Firefox,,Male,IT,Premium,English,0,No,0,Cash
42:23.4,2341,TCP  ,23.94.204.114,3004,Mozilla Firefox,,Male,CH,Premium,English,0,No,0,Cash
40:26.4,4159,TCP  ,23.94.245.142,3185,IOS App,,Female,PE,Premium,English,0,No,0,Cash
43:34.5,3755,TCP  ,23.94.54.38,2001,Microsoft Edge,,Male,IT,Premium,English,0,No,0,Debit Card
